Format Version,1.21,Take Name,black4Take 2024-04-10 04.05.45 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 04.05.45.715 PM,Total Frames in Take,3092,Total Exported Frames,3092,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
147,1.225000,-172.514893,7.159638,175.335861,-1.512480,0.454128,1.298345,0.000404
148,1.233333,-172.527740,7.157325,175.330963,-1.512469,0.454149,1.298361,0.000394
149,1.241667,-172.530136,7.162390,175.310150,-1.512475,0.454142,1.298353,0.000396
150,1.250000,-172.529984,7.168952,175.316315,-1.512473,0.454160,1.298366,0.000416
151,1.258333,-172.524826,7.163701,175.298737,-1.512489,0.454153,1.298357,0.000417
152,1.266667,-172.526230,7.167141,175.302490,-1.512488,0.454153,1.298350,0.000403
153,1.275000,-172.525772,7.171139,175.315720,-1.512496,0.454146,1.298349,0.000398
154,1.283333,-172.524429,7.163189,175.316406,-1.512499,0.454145,1.298353,0.000406
155,1.291667,-172.515945,7.167523,175.312271,-1.512493,0.454143,1.298351,0.000405
156,1.300000,-172.517365,7.161458,175.314911,-1.512498,0.454143,1.298366,0.000409
157,1.308333,-172.520111,7.166552,175.311020,-1.512500,0.454133,1.298359,0.000408
158,1.316667,-172.512070,7.160882,175.320938,-1.512489,0.454145,1.298362,0.000410
159,1.325000,-172.518326,7.162606,175.313416,-1.512485,0.454141,1.298352,0.000408
160,1.333333,-172.521576,7.157980,175.315292,-1.512468,0.454143,1.298358,0.000406
161,1.341667,-172.524597,7.169696,175.322891,-1.512487,0.454148,1.298359,0.000416
162,1.350000,-172.538589,7.164695,175.333130,-1.512493,0.454149,1.298356,0.000404
163,1.358333,-172.532730,7.166665,175.309738,-1.512485,0.454136,1.298353,0.000412
164,1.366667,-172.527191,7.154839,175.328110,-1.512478,0.454140,1.298362,0.000404
165,1.375000,-172.523300,7.152216,175.327271,-1.512471,0.454127,1.298358,0.000403
166,1.383333,-172.517685,7.165991,175.308151,-1.512500,0.454156,1.298352,0.000393
167,1.391667,-172.521408,7.165916,175.304642,-1.512490,0.454140,1.298331,0.000398
168,1.400000,-172.504471,7.153024,175.304749,-1.512489,0.454140,1.298339,0.000401
169,1.408333,-172.513702,7.159314,175.316208,-1.512487,0.454152,1.298347,0.000410
170,1.416667,-172.517929,7.160572,175.315750,-1.512492,0.454134,1.298352,0.000407
171,1.425000,-172.517914,7.161612,175.308685,-1.512498,0.454147,1.298340,0.000412
172,1.433333,-172.522476,7.165449,175.315353,-1.512485,0.454129,1.298344,0.000396
173,1.441667,-172.540573,7.136940,175.436920,-1.512491,0.454209,1.298382,0.000428
174,1.450000,-172.531494,7.169407,175.311569,-1.512471,0.454146,1.298360,0.000405
175,1.458333,-172.523392,7.161141,175.305679,-1.512474,0.454151,1.298351,0.000395
176,1.466667,-172.522964,7.160914,175.309097,-1.512487,0.454145,1.298345,0.000414
177,1.475000,-172.527557,7.157096,175.321060,-1.512475,0.454147,1.298342,0.000400
178,1.483333,-172.532867,7.156765,175.314575,-1.512477,0.454132,1.298344,0.000401
179,1.491667,-172.516312,7.153253,175.317719,-1.512483,0.454145,1.298358,0.000390
180,1.500000,-172.526245,7.151057,175.441605,-1.512516,0.454196,1.298361,0.000431
181,1.508333,-172.504715,7.153433,175.315216,-1.512485,0.454135,1.298357,0.000409
182,1.516667,-172.532883,7.148930,175.416916,-1.512515,0.454192,1.298347,0.000416
183,1.525000,-172.516708,7.158120,175.329559,-1.512489,0.454143,1.298340,0.000403
184,1.533333,-172.517105,7.150320,175.313690,-1.512486,0.454137,1.298326,0.000395
185,1.541667,-172.525513,7.152194,175.326111,-1.512472,0.454142,1.298340,0.000410
186,1.550000,-172.535217,7.165572,175.298233,-1.512464,0.454151,1.298361,0.000397
187,1.558333,-172.526337,7.157337,175.315384,-1.512473,0.454150,1.298358,0.000420
188,1.566667,-172.527832,7.155523,175.311676,-1.512484,0.454154,1.298342,0.000403
189,1.575000,-172.530930,7.159464,175.316895,-1.512481,0.454147,1.298355,0.000421
190,1.583333,-172.522095,7.148122,175.326447,-1.512490,0.454142,1.298343,0.000425
191,1.591667,-172.542664,7.143874,175.450775,-1.512509,0.454197,1.298356,0.000428
192,1.600000,-172.528305,7.159762,175.309067,-1.512499,0.454145,1.298342,0.000410
193,1.608333,-172.513443,7.158592,175.326401,-1.512482,0.454139,1.298349,0.000406
194,1.616667,-172.512207,7.152858,175.320084,-1.512486,0.454123,1.298356,0.000402
195,1.625000,-172.516586,7.157293,175.320877,-1.512480,0.454131,1.298366,0.000411
196,1.633333,-172.522858,7.159284,175.323776,-1.512474,0.454125,1.298337,0.000411
197,1.641667,-172.530167,7.163140,175.317932,-1.512476,0.454153,1.298343,0.000400
198,1.650000,-172.518539,7.147026,175.307617,-1.512481,0.454148,1.298334,0.000400
199,1.658333,-172.524139,7.161543,175.304764,-1.512476,0.454150,1.298346,0.000387
200,1.666667,-172.536758,7.159103,175.312958,-1.512485,0.454153,1.298348,0.000414
201,1.675000,-172.517776,7.168236,175.292648,-1.512475,0.454148,1.298353,0.000403
202,1.683333,-172.524384,7.143762,175.314896,-1.512493,0.454143,1.298349,0.000416
203,1.691667,-172.523758,7.172000,175.312210,-1.512481,0.454144,1.298369,0.000403
204,1.700000,-172.515427,7.160878,175.316376,-1.512495,0.454141,1.298344,0.000407
205,1.708333,-172.505768,7.158044,175.315796,-1.512489,0.454149,1.298350,0.000399
206,1.716667,-172.520950,7.146705,175.319916,-1.512493,0.454144,1.298335,0.000403
207,1.725000,-172.526016,7.139201,175.424484,-1.512491,0.454204,1.298360,0.000418
208,1.733333,-172.528412,7.162952,175.335129,-1.512477,0.454139,1.298343,0.000410
209,1.741667,-172.541870,7.152646,175.337173,-1.512478,0.454149,1.298363,0.000409
210,1.750000,-172.539398,7.168863,175.321594,-1.512478,0.454148,1.298370,0.000411
211,1.758333,-172.535339,7.152591,175.326553,-1.512491,0.454122,1.298357,0.000413
212,1.766667,-172.530136,7.162272,175.312943,-1.512501,0.454155,1.298357,0.000408
213,1.775000,-172.530273,7.165916,175.312241,-1.512492,0.454157,1.298357,0.000401
214,1.783333,-172.514679,7.158642,175.320633,-1.512494,0.454154,1.298338,0.000400
215,1.791667,-172.531433,7.137722,175.433563,-1.512516,0.454229,1.298371,0.000445
216,1.800000,-172.510849,7.153388,175.329742,-1.512487,0.454139,1.298361,0.000423
217,1.808333,-172.514618,7.140569,175.444626,-1.512508,0.454218,1.298387,0.000424
218,1.816667,-172.516830,7.156736,175.307770,-1.512479,0.454143,1.298367,0.000412
219,1.825000,-172.524612,7.160273,175.328445,-1.512478,0.454130,1.298355,0.000408
220,1.833333,-172.521912,7.134133,175.444626,-1.512489,0.454191,1.298377,0.000421
221,1.841667,-172.518616,7.166201,175.320007,-1.512482,0.454148,1.298360,0.000410
222,1.850000,-172.541351,7.147275,175.466980,-1.512520,0.454223,1.298372,0.000431
223,1.858333,-172.528152,7.161831,175.305405,-1.512486,0.454135,1.298351,0.000397
224,1.866667,-172.529297,7.157626,175.307373,-1.512493,0.454139,1.298359,0.000405
225,1.875000,-172.537827,7.156903,175.325394,-1.512494,0.454153,1.298362,0.000398
226,1.883333,-172.539597,7.161403,175.326553,-1.512481,0.454142,1.298353,0.000411
227,1.891667,-172.518921,7.152627,175.316101,-1.512494,0.454158,1.298358,0.000415
228,1.900000,-172.521027,7.153389,175.329208,-1.512482,0.454152,1.298340,0.000410
229,1.908333,-172.513290,7.152031,175.326859,-1.512479,0.454156,1.298349,0.000394
230,1.916667,-172.521912,7.152895,175.320984,-1.512486,0.454138,1.298341,0.000409
231,1.925000,-172.512756,7.158220,175.316635,-1.512489,0.454126,1.298353,0.000410
232,1.933333,-172.516846,7.155479,175.333130,-1.512491,0.454132,1.298368,0.000407
233,1.941667,-172.517960,7.157213,175.322540,-1.512483,0.454127,1.298368,0.000409
234,1.950000,-172.514923,7.160409,175.308777,-1.512497,0.454111,1.298348,0.000410
235,1.958333,-172.502533,7.153166,175.308075,-1.512503,0.454136,1.298355,0.000398
236,1.966667,-172.520721,7.166824,175.313934,-1.512495,0.454145,1.298346,0.000400
237,1.975000,-172.537323,7.167572,175.298676,-1.512494,0.454159,1.298347,0.000415
238,1.983333,-172.531952,7.163972,175.322403,-1.512490,0.454154,1.298352,0.000407
239,1.991667,-172.515305,7.164871,175.303879,-1.512477,0.454142,1.298359,0.000400
240,2.000000,-172.529877,7.140679,175.452911,-1.512516,0.454228,1.298381,0.000422
241,2.008333,-172.524902,7.159815,175.329681,-1.512482,0.454135,1.298359,0.000412
242,2.016667,-172.499115,7.151462,175.319336,-1.512487,0.454142,1.298363,0.000397
243,2.025000,-172.525177,7.140742,175.434647,-1.512513,0.454177,1.298361,0.000429
244,2.033333,-172.512833,7.156054,175.319244,-1.512499,0.454126,1.298355,0.000421
245,2.041667,-172.534729,7.135006,175.438690,-1.512516,0.454189,1.298365,0.000415
246,2.050000,-172.510254,7.151025,175.323654,-1.512498,0.454132,1.298350,0.000407
247,2.058333,-172.523956,7.164328,175.316132,-1.512501,0.454137,1.298345,0.000414
248,2.066667,-172.539902,7.161725,175.317642,-1.512488,0.454155,1.298361,0.000408
249,2.075000,-172.528870,7.155426,175.314346,-1.512497,0.454154,1.298359,0.000407
