Format Version,1.21,Take Name,1blackTake 2024-04-10 03.24.49 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 03.24.49.530 PM,Total Frames in Take,2166,Total Exported Frames,2166,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
187,1.558333,-8.223600,-6.019810,-5.594221,1.296067,0.460037,-1.216696,0.000235
188,1.566667,-8.230458,-6.019303,-5.599412,1.296069,0.460047,-1.216702,0.000236
189,1.575000,-8.233992,-6.015892,-5.597507,1.296062,0.460049,-1.216711,0.000241
190,1.583333,-8.229977,-6.014287,-5.596714,1.296057,0.460066,-1.216721,0.000242
191,1.591667,-8.216325,-6.020221,-5.590345,1.296069,0.460067,-1.216728,0.000226
192,1.600000,-8.233401,-6.017835,-5.595838,1.296071,0.460040,-1.216712,0.000240
193,1.608333,-8.225092,-6.013988,-5.585613,1.296068,0.460042,-1.216711,0.000230
194,1.616667,-8.220392,-6.010086,-5.593768,1.296068,0.460033,-1.216704,0.000240
195,1.625000,-8.217874,-6.015807,-5.600209,1.296073,0.460035,-1.216708,0.000236
196,1.633333,-8.223986,-6.009786,-5.583430,1.296061,0.460016,-1.216699,0.000242
197,1.641667,-8.229687,-6.013563,-5.601509,1.296080,0.460012,-1.216703,0.000248
198,1.650000,-8.232588,-6.004268,-5.608569,1.296072,0.460037,-1.216713,0.000235
199,1.658333,-8.229696,-6.023810,-5.601404,1.296065,0.460042,-1.216715,0.000243
200,1.666667,-8.217665,-6.017653,-5.592535,1.296066,0.460057,-1.216716,0.000239
201,1.675000,-8.226289,-6.020716,-5.608939,1.296067,0.460053,-1.216713,0.000238
202,1.683333,-8.221489,-6.015545,-5.592516,1.296054,0.460059,-1.216710,0.000245
203,1.691667,-8.235631,-6.019307,-5.610898,1.296054,0.460056,-1.216717,0.000243
204,1.700000,-8.224000,-6.023163,-5.600209,1.296068,0.460044,-1.216716,0.000236
205,1.708333,-8.239046,-6.016620,-5.604786,1.296069,0.460035,-1.216713,0.000255
206,1.716667,-8.224823,-6.019218,-5.597672,1.296062,0.460033,-1.216710,0.000240
207,1.725000,-8.230940,-6.016566,-5.595707,1.296076,0.460034,-1.216698,0.000234
208,1.733333,-8.223722,-6.013335,-5.589727,1.296076,0.460022,-1.216708,0.000225
209,1.741667,-8.238279,-6.009378,-5.600160,1.296080,0.460018,-1.216701,0.000231
210,1.750000,-8.236186,-6.022006,-5.610326,1.296078,0.460016,-1.216692,0.000251
211,1.758333,-8.238908,-6.018898,-5.610671,1.296068,0.460021,-1.216705,0.000232
212,1.766667,-8.223294,-6.026257,-5.598647,1.296065,0.460046,-1.216709,0.000236
213,1.775000,-8.223985,-6.013888,-5.598541,1.296069,0.460055,-1.216713,0.000236
214,1.783333,-8.235993,-6.018249,-5.602555,1.296063,0.460063,-1.216713,0.000246
215,1.791667,-8.228365,-6.017533,-5.603729,1.296055,0.460066,-1.216699,0.000245
216,1.800000,-8.225811,-6.019119,-5.607800,1.296052,0.460060,-1.216689,0.000243
217,1.808333,-8.224649,-6.017004,-5.595965,1.296060,0.460051,-1.216689,0.000239
218,1.816667,-8.230746,-6.013705,-5.609607,1.296061,0.460034,-1.216684,0.000248
219,1.825000,-8.228477,-6.018019,-5.592704,1.296061,0.460037,-1.216686,0.000244
220,1.833333,-8.222858,-6.014970,-5.597942,1.296074,0.460028,-1.216689,0.000231
221,1.841667,-8.228719,-6.015725,-5.607438,1.296072,0.460033,-1.216693,0.000231
222,1.850000,-8.233335,-6.014665,-5.609237,1.296076,0.460033,-1.216689,0.000233
223,1.858333,-8.214067,-6.018004,-5.594161,1.296072,0.460033,-1.216686,0.000230
224,1.866667,-8.225279,-6.021152,-5.600984,1.296070,0.460039,-1.216693,0.000244
225,1.875000,-8.219647,-6.012641,-5.592753,1.296065,0.460053,-1.216691,0.000232
226,1.883333,-8.212521,-6.014112,-5.598127,1.296066,0.460046,-1.216688,0.000241
227,1.891667,-8.221209,-6.016021,-5.603558,1.296059,0.460062,-1.216686,0.000242
228,1.900000,-8.235838,-6.019001,-5.588474,1.296049,0.460056,-1.216680,0.000245
229,1.908333,-8.225110,-6.018325,-5.592165,1.296062,0.460060,-1.216679,0.000240
230,1.916667,-8.232005,-6.014137,-5.605131,1.296060,0.460058,-1.216682,0.000237
231,1.925000,-8.230388,-6.017002,-5.602134,1.296065,0.460037,-1.216674,0.000241
232,1.933333,-8.223145,-6.019398,-5.602865,1.296074,0.460030,-1.216687,0.000238
233,1.941667,-8.236917,-6.014557,-5.589289,1.296081,0.460037,-1.216685,0.000243
234,1.950000,-8.232774,-6.012226,-5.604238,1.296074,0.460035,-1.216683,0.000234
235,1.958333,-8.222213,-6.013903,-5.596726,1.296067,0.460039,-1.216684,0.000229
236,1.966667,-8.219959,-6.015919,-5.597684,1.296075,0.460045,-1.216686,0.000239
237,1.975000,-8.217036,-6.022922,-5.597816,1.296066,0.460054,-1.216683,0.000236
238,1.983333,-8.241727,-6.018872,-5.608563,1.296066,0.460054,-1.216682,0.000242
